clean_text,label,label_prediksi,kategori_error
tidak bagus ada nuansa politik nya tidak netralerror masa polisi tembakin terus sampai matigak bisa ngelawanini game sangat buruk,negatif,netral,netral_ambigu
tidak bisa salto,negatif,netral,pendek
gamenya lebay banget harus ada adegan masuk gorong gorong harus ada karakter megawati tompel gedein harus musuh sama habib riziq,negatif,netral,netral_ambigu
apik,negatif,positif,pendek
ampas jokowi mas gembok mending buat karakter maruf amin,negatif,positif,domain_game
bugus,negatif,positif,pendek
sementara saya kasih bitang duluklo sudah dimainin saya tambah bintang lagi,negatif,positif,lainnya
game kandung tukang bakso sampai rumah saia banyak tukang bakso,negatif,positif,lainnya
game nya bagus cuman belum perna maen game saya hamya ikut komenan saja,negatif,positif,sarkasme
game nya bagus kece badai jadi saya kasih bintang karena saya siggma wing skibidiy ,negatif,positif,lainnya
jokowi pake sniper gimana cerita,negatif,positif,lainnya
bagus grafik juga oke,negatif,positif,lainnya
game nya bagus banget bg jangan semangat ,negatif,positif,lainnya
tetapi rewardnya gimana,negatif,positif,sarkasme
gajelas,negatif,positif,pendek
jokowi nya noob,negatif,positif,pendek
pajril,negatif,positif,pendek
plis sigma developer kasih saya aura biar menang ngelawan fanum tax soal terlalu big l sangat tidak sah main luar ngeri jadi plis tambahin karakter unnie sama youngme biar enak lihat,negatif,positif,domain_game
game nya tidak bagus karena saya belum mainin  kalo jelek saya laporin developer nya karena tidak bisa buat game minimal buat game hd  jangan jokowi,netral,negatif,netral_ambigu
admin musuh harus tambah seperti helena lim harvey mois dkk lai biar lebih seru lagi,netral,positif,netral_ambigu
bagus ada fufufafa tapi ada sahroni tidak mati mati,netral,positif,sarkasme
game nya bagus banget sh hahah,netral,positif,netral_ambigu
sementara saya beri bintang soal gabisa pake budguard nya cuman bisa,positif,negatif,sarkasme
bagai warga baik saya kasih bintang,positif,negatif,lainnya
saya kasih bintang karena kalo pake jokowi enak bgtgw belum download jire,positif,negatif,lainnya
aseli kalo main game rasa sigmany rasa guys kaya ngefly gitu tidak kasih bintang wok,positif,negatif,lainnya
yo tidak tau kok tanya saya,positif,negatif,lainnya
kamu nanya game nya bagus atau tidak,positif,negatif,lainnya
game asyik banget kalian wajib cobain  game nya,positif,negatif,lainnya
game nya baguss,positif,negatif,pendek
anjass ngab owii cuyy,positif,negatif,lainnya
game nya seru terus tidak pake paket,positif,negatif,lainnya
sudah win ah lawan heru kelink tidak ada lanjut lagi seru jink,positif,negatif,lainnya
saya ngansik bintang karena bagus juga tidak selalu tidak iklan ,positif,negatif,lainnya
tidak ada fitur seks,positif,negatif,lainnya
game upon upon mahal mendinh,positif,negatif,lainnya
maen game nya sambil makan jengkol goreng manteep,positif,netral,netral_ambigu
mohon tingkat lagi kalo game nya kaya free firemobile legend lebih seru,positif,netral,netral_ambigu
game nya bagusjokowi nya planga plongo njirrcoba karakter teroris ditambahin joe biden donald trump sumanto bossnya putin,positif,netral,netral_ambigu
game apa  ajg kok ada jokowitapi gpp  seru sedikit,positif,netral,sarkasme
game nya bagus tapi ada kurang jokowi nya tidak bisa ngomong wiwokdetok,positif,netral,sarkasme
developer moga tidak ilang ya bang wkwkwkwk,positif,netral,netral_ambigu
game nya bgus bg cuma kadang agak bug tapi gpp semangat terus ya bikin game indonesia,positif,netral,sarkasme
lmao pis kang  sedikit saran gwejh bisa bebas pilihambil senjata lawan sudah mati harga pakde jokowinya mahal banget kalo bisa diturunin hargannya terus darah boros banget tiba kurang sendiri padahal nggk ada ngelawan sama tambahin karakter megawati sama puan sudah saja terima kasih telah buat game moga luwh sehat selalu,positif,netral,sarkasme
game bagus bahkan lebih bagus hsr sama genshin  grafik wow wow banget omgg love u depeloper ,positif,netral,netral_ambigu
dev nya gabut ,positif,netral,pendek
ah terlalu gampang tapi gpp lumayan bagus saya ngakak pas pake jokowi terus nyerang nya ada pake sniper ,positif,netral,sarkasme
